City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushibuka,32.1906,130.0228,50.67,77,86,11.16,JP,1675809157
1,new norfolk,-42.7826,147.0587,58.5,61,8,0.58,AU,1675808999
2,valdivia,-39.8142,-73.2459,80.69,53,0,1.9,CL,1675809157
3,tecpan,14.7623,-90.9947,65.89,47,40,5.59,GT,1675809157
4,puerto ayora,-0.7393,-90.3518,84.16,91,29,10.0,EC,1675809055
5,busselton,-33.65,115.3333,65.01,77,29,9.4,AU,1675809158
6,hobart,-42.8794,147.3294,60.06,62,75,10.36,AU,1675809158
7,bereda,43.2686,-7.5406,39.42,83,86,7.87,ES,1675809159
8,castro,-24.7911,-50.0119,64.6,92,11,5.61,BR,1675809148
9,rikitea,-23.1203,-134.9692,78.85,73,83,11.7,PF,1675809159
10,cherskiy,68.75,161.3,-32.31,98,100,5.5,RU,1675809159
11,punta arenas,-53.15,-70.9167,60.91,59,75,14.97,CL,1675808977
12,zeya,53.75,127.2667,-30.44,96,21,2.98,RU,1675809160
13,albany,42.6001,-73.9662,38.68,47,100,11.14,US,1675808883
14,lingyuan,41.24,119.4011,18.36,63,0,2.98,CN,1675809160
15,byron bay,-28.65,153.6167,70.95,63,97,6.98,AU,1675809057
16,dudinka,69.4058,86.1778,-13.65,100,94,2.91,RU,1675809161
17,carnarvon,-24.8667,113.6333,77.07,66,0,17.43,AU,1675809161
18,rincon,32.296,-81.2354,69.76,43,75,11.5,US,1675809161
19,narasannapeta,18.4167,84.05,67.66,88,4,4.38,IN,1675809162
20,kapaa,22.0752,-159.319,80.92,84,40,11.5,US,1675808990
21,gobabis,-22.45,18.9667,67.51,78,98,6.13,NA,1675809162
22,nanchang,28.6833,115.8833,51.15,96,100,6.62,CN,1675809162
23,tabou,4.423,-7.3528,79.47,86,100,6.02,CI,1675809163
24,lensk,60.7253,114.9278,-15.48,99,100,1.83,RU,1675809163
25,butaritari,3.0707,172.7902,81.1,80,100,22.17,KI,1675809163
26,talnakh,69.4865,88.3972,-9.04,98,99,6.17,RU,1675809164
27,lulea,65.5842,22.1547,26.67,86,0,3.44,SE,1675809164
28,paamiut,61.994,-49.6678,-0.63,85,99,11.23,GL,1675809107
29,saldanha,-33.0117,17.9442,64.45,88,29,18.79,ZA,1675809165
30,bluff,-46.6,168.3333,49.8,69,77,26.33,NZ,1675809165
31,mehamn,71.0357,27.8492,35.55,69,20,24.16,NO,1675809105
32,yellowknife,62.456,-114.3525,-1.68,78,75,8.05,CA,1675809067
33,lata,40.1629,-8.3327,42.08,78,4,3.94,PT,1675809165
34,jamestown,42.097,-79.2353,48.02,71,100,11.01,US,1675809082
35,cape town,-33.9258,18.4232,71.38,75,30,11.99,ZA,1675808953
36,tasiilaq,65.6145,-37.6368,1.56,35,2,35.66,GL,1675809166
37,east london,-33.0153,27.9116,71.26,86,100,10.87,ZA,1675809166
38,lebu,-37.6167,-73.65,60.98,83,0,17.36,CL,1675809118
39,hermanus,-34.4187,19.2345,69.8,80,50,12.33,ZA,1675809167
40,ushuaia,-54.8,-68.3,55.06,47,20,4.61,AR,1675809167
41,otukpo,7.1913,8.1329,81.28,15,19,1.5,NG,1675809167
42,hegang,47.4,130.3667,-10.46,98,18,2.57,CN,1675809168
43,maceio,-9.6658,-35.7353,78.24,83,0,6.91,BR,1675808959
44,avarua,-21.2078,-159.775,84.25,79,20,12.66,CK,1675809168
45,kodiak,57.79,-152.4072,29.71,55,0,17.27,US,1675809169
46,mataura,-46.1927,168.8643,49.48,70,75,10.78,NZ,1675809169
47,basoko,1.2391,23.616,78.55,45,97,2.24,CD,1675809169
48,coihaique,-45.5752,-72.0662,69.75,52,75,9.22,CL,1675809170
49,haines junction,60.7522,-137.5108,28.35,86,76,1.14,CA,1675809170
50,kloulklubed,7.0419,134.2556,79.3,76,100,17.76,PW,1675809170
51,dunedin,-45.8742,170.5036,56.37,64,50,14.97,NZ,1675809037
52,tual,-5.6667,132.75,81.99,77,100,22.62,ID,1675809171
53,spirit river,55.7833,-118.8361,28.83,82,65,2.06,CA,1675809171
54,katsuura,35.1333,140.3,50.61,79,98,18.3,JP,1675809171
55,vestmannaeyjar,63.4427,-20.2734,31.98,58,100,34.11,IS,1675809172
56,husavik,66.0449,-17.3389,24.93,66,63,12.26,IS,1675809172
57,vaini,-21.2,-175.2,82.56,89,75,10.36,TO,1675809172
58,moose factory,51.2585,-80.6094,15.8,79,100,14.97,CA,1675809173
59,bredasdorp,-34.5322,20.0403,67.35,74,93,9.46,ZA,1675808980
60,chuy,-33.6971,-53.4616,75.85,66,0,10.78,UY,1675809000
61,tura,25.5198,90.2201,58.8,50,19,3.51,IN,1675809173
62,niamtougou,9.7681,1.1053,86.81,17,76,5.46,TG,1675809173
63,poum,-20.2333,164.0167,80.73,80,96,9.31,NC,1675809174
64,villeta,5.0089,-74.4723,86.61,70,63,1.07,CO,1675809174
65,cayenne,4.9333,-52.3333,77.04,94,75,5.75,GF,1675809018
66,nakamura,32.9833,132.9333,44.74,94,57,5.37,JP,1675809174
67,tias,28.9611,-13.645,58.68,67,20,2.3,ES,1675809175
68,qaanaaq,77.484,-69.3632,-24.2,65,89,5.26,GL,1675809175
69,aripuana,-9.1667,-60.6333,72.01,99,92,0.72,BR,1675809175
70,banda aceh,5.5577,95.3222,77.47,84,99,7.85,ID,1675809176
71,dakar,14.6937,-17.4441,68.88,82,0,11.5,SN,1675809176
72,banganapalle,15.3167,78.2333,70.77,69,37,4.54,IN,1675809176
73,laguna,38.421,-121.4238,62.01,56,0,3.44,US,1675809177
74,luena,-11.7833,19.9167,61.16,94,100,3.29,AO,1675809177
75,namatanai,-3.6667,152.4333,81.52,77,100,4.9,PG,1675809177
76,ribeira grande,38.5167,-28.7,55.78,66,63,11.99,PT,1675809177
77,codrington,-38.2667,141.9667,63.09,66,59,12.55,AU,1675809178
78,upernavik,72.7868,-56.1549,-20.51,98,76,3.44,GL,1675809178
79,itapaci,-14.9508,-49.5494,73.71,83,80,2.06,BR,1675809179
80,barda,40.3744,47.1267,41.05,62,100,12.37,AZ,1675809179
81,ponta do sol,32.6667,-17.1,60.01,70,15,5.14,PT,1675809179
82,lewisporte,49.2499,-55.0482,11.91,84,93,5.03,CA,1675809179
